symbol,Long,Short,Total,Start,End
EXPE,19988774.330000002,,19988774.330000002,2019-10-01,2019-10-31
UAL,17082615.980000004,,17082615.980000004,2019-10-01,2019-10-31
ALGT,14728658.16,,14728658.16,2019-10-01,2019-10-31
GRPN,9465725.759999992,,9465725.759999992,2019-10-01,2019-10-31
DVA,6363270.0,,6363270.0,2019-10-01,2019-10-31
TRWH,3906071.07,,3906071.07,2019-10-01,2019-10-31
CHDN,3738036.5700000003,,3738036.5700000003,2019-10-01,2019-10-31
SYF,3577600.0,,3577600.0,2019-10-01,2019-10-31
SAVE,3458091.1799999997,,3458091.1799999997,2019-10-01,2019-10-31
BYD,3062991.2099999995,,3062991.2099999995,2019-10-01,2019-10-31
RRR,1910543.2399999995,,1910543.2399999995,2019-10-01,2019-10-31
AC.CN,1875568.0100000007,,1875568.0100000007,2019-10-01,2019-10-31
ICEAIR,1610485.2499999995,,1610485.2499999995,2019-10-01,2019-10-31
FB,1483817.21,,1483817.21,2019-10-01,2019-10-31
TSG,1573200.1600000001,-220000.0,1353200.1600000001,2019-10-01,2019-10-31
VLRS,1216685.3800000001,,1216685.3800000001,2019-10-01,2019-10-31
PCYO,1166173.0000000005,,1166173.0000000005,2019-10-01,2019-10-31
JBLU,1040864.9200000002,,1040864.9200000002,2019-10-01,2019-10-31
SKYW,986600.5999999999,,986600.5999999999,2019-10-01,2019-10-31
GENS.SP,817678.77,,817678.77,2019-10-01,2019-10-31
QNST,789487.9399999997,,789487.9399999997,2019-10-01,2019-10-31
V,784448.05,,784448.05,2019-10-01,2019-10-31
GSKY,622092.52,,622092.52,2019-10-01,2019-10-31
PENN,534702.8400000001,,534702.8400000001,2019-10-01,2019-10-31
PFSI,406659.0499999998,,406659.0499999998,2019-10-01,2019-10-31
ALK,355117.42,,355117.42,2019-10-01,2019-10-31
CVNA,326616.26,,326616.26,2019-10-01,2019-10-31
RDFN,365027.05000000005,-267845.04,97182.01000000007,2019-10-01,2019-10-31
PYPL,39538.0,26500.0,66038.0,2019-10-01,2019-10-31
MGM,51059.50999999997,,51059.50999999997,2019-10-01,2019-10-31
IWM,-8336.330000000002,31600.0,23263.67,2019-10-01,2019-10-31
ENTERP,773.89,,773.89,2019-10-01,2019-10-31
HKD2,25.820000000000007,,25.820000000000007,2019-10-01,2019-10-31
OLLI,0.0,,0.0,2019-10-01,2019-10-31
OC,0.0,,0.0,2019-10-01,2019-10-31
PTEC.LN,0.0,,0.0,2019-10-01,2019-10-31
ORLY,0.0,,0.0,2019-10-01,2019-10-31
PRSC,0.0,,0.0,2019-10-01,2019-10-31
RLGY,0.0,,0.0,2019-10-01,2019-10-31
MLCO,0.0,,0.0,2019-10-01,2019-10-31
RMBL,0.0,,0.0,2019-10-01,2019-10-31
LCC,0.0,,0.0,2019-10-01,2019-10-31
